filenames,rsid,round,samples,zi,zf
D:\Jonathan\Mouse KO Oxford 3 (Sept 2022)\Round3\Neg_no_primary_5\Neg_no_primary_2_MMStack_Pos-2-1.ome.tif,3.05,Round3,Neg_no_primary_5,5,37
D:\Jonathan\Mouse KO Oxford 3 (Sept 2022)\Round3\Neg_no_primary_5\Neg_no_primary_2_MMStack_Pos-2-2.ome.tif,3.05,Round3,Neg_no_primary_5,5,37
D:\Jonathan\Mouse KO Oxford 3 (Sept 2022)\Round3\Neg_no_secondary_6\Neg_no_secondary_actual_MMStack_Pos-0-0.ome.tif,3.06,Round3,Neg_no_secondary_6,5,37
D:\Jonathan\Mouse KO Oxford 3 (Sept 2022)\Round3\Neg_no_secondary_6\Neg_no_secondary_actual_MMStack_Pos-0-1.ome.tif,3.06,Round3,Neg_no_secondary_6,5,37
D:\Jonathan\Mouse KO Oxford 3 (Sept 2022)\Round3\Neg_no_secondary_6\Neg_no_secondary_actual_MMStack_Pos-0-2.ome.tif,3.06,Round3,Neg_no_secondary_6,5,37
D:\Jonathan\Mouse KO Oxford 3 (Sept 2022)\Round3\Neg_no_secondary_6\Neg_no_secondary_actual_MMStack_Pos-1-0.ome.tif,3.06,Round3,Neg_no_secondary_6,5,37
D:\Jonathan\Mouse KO Oxford 3 (Sept 2022)\Round3\Neg_no_secondary_6\Neg_no_secondary_actual_MMStack_Pos-1-1.ome.tif,3.06,Round3,Neg_no_secondary_6,5,37
D:\Jonathan\Mouse KO Oxford 3 (Sept 2022)\Round3\Neg_no_secondary_6\Neg_no_secondary_actual_MMStack_Pos-1-2.ome.tif,3.06,Round3,Neg_no_secondary_6,5,37
D:\Jonathan\Mouse KO Oxford 3 (Sept 2022)\Round3\Neg_no_secondary_6\Neg_no_secondary_actual_MMStack_Pos-2-0.ome.tif,3.06,Round3,Neg_no_secondary_6,5,37
D:\Jonathan\Mouse KO Oxford 3 (Sept 2022)\Round3\Neg_no_secondary_6\Neg_no_secondary_actual_MMStack_Pos-2-1.ome.tif,3.06,Round3,Neg_no_secondary_6,5,37
D:\Jonathan\Mouse KO Oxford 3 (Sept 2022)\Round3\Neg_no_secondary_6\Neg_no_secondary_actual_MMStack_Pos-2-2.ome.tif,3.06,Round3,Neg_no_secondary_6,5,37
D:\Jonathan\Mouse KO Oxford 3 (Sept 2022)\Round3\Sample_1\Sample_1_MMStack_Pos-0-0.ome.tif,3.01,Round3,Sample_1,5,37
D:\Jonathan\Mouse KO Oxford 3 (Sept 2022)\Round3\Sample_1\Sample_1_MMStack_Pos-0-1.ome.tif,3.01,Round3,Sample_1,5,37
D:\Jonathan\Mouse KO Oxford 3 (Sept 2022)\Round3\Sample_1\Sample_1_MMStack_Pos-0-2.ome.tif,3.01,Round3,Sample_1,5,37
D:\Jonathan\Mouse KO Oxford 3 (Sept 2022)\Round3\Sample_1\Sample_1_MMStack_Pos-1-0.ome.tif,3.01,Round3,Sample_1,5,37
D:\Jonathan\Mouse KO Oxford 3 (Sept 2022)\Round3\Sample_1\Sample_1_MMStack_Pos-1-1.ome.tif,3.01,Round3,Sample_1,5,37
D:\Jonathan\Mouse KO Oxford 3 (Sept 2022)\Round3\Sample_1\Sample_1_MMStack_Pos-1-2.ome.tif,3.01,Round3,Sample_1,5,37
D:\Jonathan\Mouse KO Oxford 3 (Sept 2022)\Round3\Sample_1\Sample_1_MMStack_Pos-2-0.ome.tif,3.01,Round3,Sample_1,5,37
D:\Jonathan\Mouse KO Oxford 3 (Sept 2022)\Round3\Sample_1\Sample_1_MMStack_Pos-2-1.ome.tif,3.01,Round3,Sample_1,5,37
D:\Jonathan\Mouse KO Oxford 3 (Sept 2022)\Round3\Sample_1\Sample_1_MMStack_Pos-2-2.ome.tif,3.01,Round3,Sample_1,5,37
D:\Jonathan\Mouse KO Oxford 3 (Sept 2022)\Round3\Sample_2\Sample_2_MMStack_Pos-0-0.ome.tif,3.02,Round3,Sample_2,5,37
